,sample_id,year,qc_pass,study_id,region,country,country_id,site,site_id,ARTresistant,CQresistant,MQresistant,PPQresistant,PYRresistant,SDXresistant
2406,PF0155-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,undetermined,sensitive,sensitive,resistant,resistant
2488,PF0261-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,resistant,sensitive,sensitive,resistant,sensitive
2504,PF0279-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,resistant,resistant
2482,PF0254-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,resistant,sensitive,sensitive,resistant,resistant
2460,PF0226-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,undetermined,resistant
2447,PF0207-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,resistant,resistant
2461,PF0228-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,undetermined,resistant
2572,PF0365-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,resistant,sensitive,sensitive,resistant,undetermined
2520,PF0301-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,resistant,sensitive,sensitive,sensitive,resistant
2475,PF0245-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,resistant,resistant
2549,PF0341-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,resistant,resistant
2399,PF0148-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,resistant,sensitive,sensitive,resistant,resistant
2499,PF0274-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,undetermined,resistant
2544,PF0336-CW,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,undetermined,resistant
2576,PF0369-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,resistant,resistant
2496,PF0269-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,resistant,resistant
2523,PF0306-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,resistant,resistant
2431,PF0188-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,resistant,resistant
2564,PF0357-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,undetermined,sensitive,sensitive,sensitive,undetermined,resistant
2547,PF0339-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,resistant,resistant
2503,PF0278-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,resistant,sensitive,sensitive,sensitive,resistant
2471,PF0239-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,resistant,resistant
2441,PF0199-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,undetermined,sensitive,sensitive,resistant,undetermined
2536,PF0328-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,resistant,sensitive,sensitive,resistant,resistant
2426,PF0180-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive
2507,PF0282-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,sensitive,resistant
2585,PF0378-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,resistant,resistant
2502,PF0277-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,resistant,resistant
2408,PF0157-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,resistant,resistant
2473,PF0241-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,resistant,resistant
2542,PF0334-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,sensitive,resistant
2403,PF0152-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,resistant,resistant
2432,PF0189-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,undetermined,resistant
2484,PF0256-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,resistant,undetermined
2568,PF0361-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,resistant,sensitive,sensitive,undetermined,undetermined
2443,PF0203-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,resistant,resistant
